Group ID	Date	Latitude	Longitude	Depth	M
1	198204221245.30 	35.841 	140.854 	45.8 	3.8 
1	198407021330.40 	35.831 	140.870 	48.6 	4.0 
2	198208150734.20 	35.545 	142.262 	30.9 	4.0 
2	198612270243.23 	35.494 	142.192 	28.8 	3.5 
3	198210041718.07 	36.130 	140.074 	64.1 	3.0 
3	199312302237.54 	36.127 	140.011 	71.7 	3.0 
4	198212282352.00 	33.750 	139.383 	20.0 	2.7 
4	198212290732.33 	33.750 	139.350 	20.0 	2.8 
5	198301181931.42 	35.740 	140.039 	58.1 	2.6 
5	198408091427.07 	35.719 	140.079 	60.6 	2.7 
6	198301140748.13 	36.025 	139.942 	54.0 	3.2 
6	198905251354.28 	36.033 	139.913 	53.7 	3.0 
7	198301281815.35 	36.241 	141.783 	3.7 	3.4 
7	199112282011.38 	36.279 	141.697 	13.3 	3.5 
8	198302280634.09 	34.938 	139.225 	14.0 	2.8 
8	198304050109.48 	34.955 	139.217 	14.0 	2.7 
9	198302150030.55 	36.193 	140.130 	54.0 	3.2 
9	198706240412.31 	36.186 	140.133 	51.1 	3.0 
10	198307162159.48 	36.217 	140.052 	54.0 	3.5 
10	198703251832.00 	36.198 	140.053 	58.8 	3.6 
11	198310081935.36 	36.430 	141.201 	29.5 	3.6 
11	199111301132.54 	36.439 	141.206 	30.1 	3.4 
12	198311131716.47 	36.866 	139.086 	4.5 	2.0 
12	198405251845.29 	36.880 	139.093 	0.7 	2.4 
13	198311131102.23 	36.391 	141.114 	30.5 	3.7 
13	198602171231.29 	36.410 	141.058 	44.6 	3.7 
14	198312141738.52 	36.198 	140.079 	65.4 	2.9 
14	198712242031.30 	36.197 	140.098 	67.2 	2.2 
15	198401301512.48 	36.092 	139.880 	53.0 	3.3 
15	198804021356.10 	36.078 	139.889 	48.3 	2.6 
16	198401141519.53 	35.918 	140.143 	71.0 	3.9 
16	199107241158.18 	35.889 	140.152 	68.6 	4.1 
17	198402281009.20 	35.625 	140.769 	49.8 	4.0 
17	199006041217.21 	35.660 	140.712 	48.0 	3.6 
18	198403030903.00 	36.394 	140.587 	56.2 	3.5 
18	198602070647.52 	36.396 	140.605 	57.8 	3.0 
19	198409121827.32 	36.871 	139.077 	2.4 	2.7 
19	198409281815.51 	36.877 	139.090 	0.7 	2.1 
20	198409150901.45 	35.797 	137.472 	8.0 	3.2 
20	198409280357.39 	35.818 	137.488 	9.0 	3.2 
21	198409151759.24 	35.813 	137.467 	10.0 	3.2 
21	198610251620.53 	35.805 	137.448 	10.3 	3.0 
22	198409281756.08 	36.305 	140.067 	80.0 	3.5 
22	199005241711.44 	36.333 	140.033 	80.7 	3.4 
23	198409150856.19 	35.827 	137.522 	11.0 	3.3 
23	199304242315.19 	35.825 	137.502 	4.9 	2.3 
23	199304260931.12 	35.825 	137.500 	5.3 	3.1 
24	198412190450.40 	37.110 	141.589 	19.9 	4.5 
24	198611171236.10 	37.163 	141.500 	47.9 	4.3 
24	198704231101.02 	37.152 	141.495 	52.1 	4.4 
25	198412191125.50 	37.148 	141.505 	48.0 	3.5 
25	198704230643.25 	37.137 	141.518 	47.0 	3.6 
26	198412011053.33 	35.949 	141.460 	30.8 	3.2 
26	199110121502.48 	36.003 	141.427 	39.8 	3.4 
27	198412060447.44 	36.419 	140.798 	53.9 	4.8 
27	199112121127.45 	36.438 	140.740 	51.0 	4.6 
28	198412271454.16 	36.427 	140.783 	53.2 	4.4 
28	199207240015.29 	36.418 	140.710 	49.6 	4.4 
29	198502100030.30 	36.368 	140.050 	76.5 	3.5 
29	199301211322.38 	36.320 	140.074 	73.2 	3.8 
30	198505081829.02 	36.888 	139.096 	0.6 	2.0 
30	198505161218.18 	36.897 	139.103 	8.4 	2.0 
31	198505101216.17 	36.898 	139.125 	1.8 	2.1 
31	198506171814.51 	36.889 	139.109 	0.9 	2.4 
32	198506192018.24 	37.108 	141.172 	54.3 	4.1 
32	199004182150.46 	37.087 	141.157 	57.1 	4.0 
33	198509301219.10 	36.888 	139.094 	8.3 	1.9 
33	198510121816.02 	36.887 	139.093 	2.0 	1.6 
34	198509122106.25 	36.014 	139.904 	46.7 	3.2 
34	198905221441.39 	36.042 	139.912 	52.9 	2.8 
34	199210210837.57 	36.088 	139.917 	55.4 	3.4 
34	199307110351.58 	36.061 	139.898 	43.5 	3.0 
35	198510192057.52 	34.975 	139.180 	8.5 	2.4 
35	198510192101.54 	34.973 	139.185 	7.9 	2.4 
36	198511142004.31 	41.483 	142.010 	47.0 	3.2 
36	198607182311.35 	41.505 	141.993 	44.0 	3.2 
37	198511082350.33 	38.637 	141.925 	51.6 	2.8 
37	198908192150.17 	38.635 	141.933 	51.1 	2.8 
38	198512200628.21 	34.844 	139.184 	48.2 	2.9 
38	198512210001.34 	34.827 	139.131 	48.5 	2.6 
39	198602062013.39 	38.888 	141.998 	49.1 	3.0 
39	199010060004.45 	38.873 	142.020 	49.9 	3.4 
39	199204250103.55 	38.872 	142.010 	49.3 	3.3 
40	198603062012.53 	36.337 	141.815 	59.0 	3.5 
40	198901071225.38 	36.398 	141.752 	55.0 	3.2 
41	198605041533.25 	35.637 	141.043 	40.0 	3.4 
41	199007130817.10 	35.753 	140.987 	38.0 	3.1 
42	198606081251.34 	37.148 	141.438 	50.5 	3.0 
42	198705070218.40 	37.168 	141.398 	50.0 	3.1 
43	198606071028.46 	36.592 	141.195 	42.9 	3.7 
43	199211200017.31 	36.585 	141.255 	39.2 	3.3 
44	198607090807.10 	36.126 	139.870 	46.1 	2.5 
44	198801191542.12 	36.152 	139.882 	53.8 	3.5 
45	198607172252.51 	36.292 	140.028 	75.3 	2.8 
45	199002260254.46 	36.333 	140.010 	79.1 	2.8 
46	198609210118.54 	36.315 	140.050 	73.1 	2.4 
46	198711200532.30 	36.323 	140.023 	71.4 	2.4 
47	198612050304.57 	35.497 	141.977 	48.0 	3.9 
47	198807281625.44 	35.428 	142.002 	11.3 	3.7 
48	198702211747.10 	37.428 	141.620 	44.0 	2.9 
48	198704161128.40 	37.438 	141.647 	42.2 	3.2 
49	198705220136.49 	34.938 	139.243 	16.4 	2.6 
49	198705220146.59 	34.980 	139.252 	14.7 	2.4 
50	198705090941.44 	37.140 	141.415 	55.8 	4.1 
50	198802272232.47 	37.155 	141.400 	49.5 	4.3 
50	198912281658.20 	37.140 	141.412 	49.9 	3.7 
51	198705012256.04 	36.437 	141.195 	53.0 	2.7 
51	199008071900.05 	36.405 	141.183 	44.8 	2.5 
52	198707092049.53 	35.763 	140.165 	75.4 	4.1 
52	199205170141.22 	35.770 	140.152 	82.4 	4.1 
53	198712052029.19 	36.750 	141.798 	35.0 	3.6 
53	198910110318.23 	36.730 	141.772 	41.0 	3.3 
54	198712042144.34 	35.708 	140.703 	47.0 	2.6 
54	199008090315.14 	35.700 	140.690 	51.3 	2.3 
55	198803262121.36 	36.325 	140.028 	72.7 	3.3 
55	199201030223.11 	36.334 	140.046 	69.9 	3.4 
55	199208110948.03 	36.325 	140.022 	73.6 	3.6 
55	199303292201.57 	36.335 	140.029 	71.4 	3.6 
55	199409250304.03 	36.326 	140.029 	71.5 	4.0 
56	198804130226.17 	41.548 	142.023 	58.0 	3.3 
56	199106070325.55 	41.552 	142.022 	58.0 	2.9 
57	198807290547.28 	34.935 	139.233 	3.0 	2.5 
58	198808011530.59 	34.950 	139.195 	1.3 	2.9 
58	198808021052.40 	34.955 	139.187 	0.5 	2.5 
59	198808042155.17 	34.957 	139.202 	7.2 	2.3 
59	198808042223.07 	34.960 	139.190 	7.4 	2.1 
60	198810161059.40 	34.965 	139.263 	4.7 	2.3 
60	198810161725.46 	34.963 	139.260 	4.0 	2.5 
61	198811010035.00 	36.178 	141.963 	15.0 	3.0 
61	199112230540.11 	36.205 	141.853 	26.0 	3.0 
62	198812192115.01 	35.813 	137.488 	10.0 	2.6 
62	198905040415.14 	35.810 	137.495 	11.9 	3.1 
63	198903152341.00 	35.827 	137.497 	9.0 	2.8 
63	198903152347.33 	35.823 	137.488 	10.7 	2.9 
64	198903150652.45 	35.738 	140.702 	49.9 	3.7 
64	199303302146.20 	35.752 	140.722 	48.4 	3.9 
65	198907051312.21 	34.985 	139.123 	6.5 	2.4 
65	198907052200.37 	34.977 	139.127 	5.1 	2.2 
66	198907051738.55 	34.980 	139.118 	3.6 	3.3 
66	198907052015.23 	34.963 	139.105 	2.5 	2.6 
66	198907070857.30 	34.973 	139.122 	4.8 	3.1 
67	198907062050.59 	34.985 	139.118 	2.3 	2.5 
67	198907062241.47 	34.988 	139.127 	3.4 	2.6 
68	198907170149.02 	41.545 	142.018 	59.0 	2.8 
68	199006101815.49 	41.560 	142.010 	66.0 	3.1 
69	198907280548.42 	40.885 	142.022 	62.0 	3.3 
69	199104120823.25 	40.878 	142.015 	62.0 	3.1 
70	198911151921.41 	36.108 	139.930 	54.2 	3.0 
70	199309031955.25 	36.081 	139.906 	45.9 	3.3 
71	198912311949.12 	37.042 	141.493 	51.2 	3.1 
71	199303221930.57 	37.135 	141.430 	47.2 	2.9 
72	199008210911.11 	35.733 	141.082 	43.1 	3.3 
72	199311290032.13 	35.749 	141.094 	30.5 	3.8 
73	199010051604.31 	33.752 	139.418 	30.8 	3.1 
73	199010051654.07 	33.763 	139.405 	34.5 	3.1 
74	199010072125.59 	33.732 	139.428 	31.2 	3.2 
74	199010072328.06 	33.733 	139.403 	33.4 	2.6 
75	199011151953.16 	34.782 	137.625 	32.4 	2.8 
75	199101311414.12 	34.743 	137.650 	33.4 	3.2 
76	199011060038.19 	37.068 	141.883 	24.0 	3.1 
76	199304120944.42 	37.072 	141.945 	32.0 	3.5 
77	199011161623.07 	35.008 	137.833 	23.0 	1.9 
77	199306282117.49 	34.994 	137.852 	8.4 	2.2 
77	199404171808.34 	35.006 	137.851 	9.3 	2.1 
77	199405110308.20 	34.986 	137.862 	17.6 	2.3 
77	199405110536.54 	34.970 	137.812 	8.8 	2.9 
78	199012241745.13 	36.377 	139.640 	10.0 	1.6 
78	199012251658.21 	36.407 	139.657 	4.1 	1.7 
79	199101021032.20 	34.805 	137.608 	30.4 	2.3 
79	199105030822.02 	34.805 	137.623 	28.5 	2.3 
80	199101042122.55 	36.480 	140.603 	56.9 	3.7 
80	199111182214.17 	36.459 	140.658 	59.5 	2.8 
81	199103030300.35 	34.807 	137.620 	28.2 	2.1 
81	199103211904.37 	34.821 	137.624 	28.1 	2.2 
81	199104080239.14 	34.810 	137.618 	30.0 	2.4 
81	199107110930.28 	34.802 	137.657 	26.8 	2.3 
81	199108070311.46 	34.807 	137.623 	29.3 	2.4 
81	199112020704.18 	34.802 	137.612 	30.0 	2.2 
82	199103171144.37 	35.195 	137.233 	36.7 	2.6 
82	199103171249.09 	35.235 	137.258 	39.7 	2.6 
83	199104222117.12 	36.184 	140.123 	70.5 	2.4 
83	199406300119.51 	36.224 	140.110 	66.2 	3.0 
84	199105240227.04 	36.318 	139.963 	76.5 	2.9 
84	199311160806.27 	36.314 	139.965 	80.9 	2.5 
85	199106220755.36 	36.095 	137.338 	8.9 	2.8 
85	199106260701.51 	36.103 	137.340 	8.9 	2.9 
86	199107182141.38 	36.345 	137.943 	12.4 	2.0 
86	199107190503.19 	36.345 	137.942 	14.6 	2.5 
87	199107201715.06 	34.788 	137.640 	25.9 	2.2 
87	199107211452.16 	34.785 	137.672 	26.5 	2.3 
88	199107030159.28 	36.722 	139.348 	5.5 	2.7 
88	199108102144.30 	36.722 	139.349 	5.5 	2.0 
89	199107171433.46 	34.965 	139.245 	8.8 	2.3 
89	199108201043.40 	34.962 	139.250 	10.7 	2.3 
90	199107271203.05 	35.968 	140.110 	57.6 	2.2 
90	199303151958.36 	36.019 	140.116 	63.5 	2.9 
91	199108142342.44 	34.883 	139.312 	13.9 	2.8 
91	199108142352.43 	34.905 	139.310 	15.0 	2.3 
91	199202040538.57 	34.895 	139.319 	13.9 	2.8 
92	199108211925.00 	34.942 	139.167 	8.8 	1.5 
92	199108211932.47 	34.942 	139.172 	9.2 	1.6 
92	199108211934.39 	34.942 	139.169 	9.2 	1.6 
92	199108212035.40 	34.943 	139.166 	8.8 	1.9 
93	199108120934.02 	35.789 	141.000 	46.0 	2.9 
93	199303221259.11 	35.781 	141.014 	41.8 	2.9 
94	199108151816.17 	36.107 	140.117 	69.0 	2.2 
94	199303272055.47 	36.112 	140.124 	69.3 	2.5 
94	199308020409.48 	36.142 	140.119 	67.0 	2.3 
95	199109041106.25 	34.949 	139.179 	10.4 	1.7 
95	199110061507.12 	34.947 	139.175 	10.1 	1.9 
96	199109111956.45 	36.303 	140.055 	76.4 	2.0 
96	199303020346.47 	36.323 	140.044 	70.8 	2.6 
97	199109030359.09 	36.109 	140.118 	69.6 	2.7 
97	199310240531.07 	36.116 	140.138 	65.4 	3.3 
98	199109031048.35 	36.110 	140.115 	69.8 	2.9 
98	199311200933.48 	36.158 	140.084 	65.4 	3.5 
99	199109291717.31 	35.997 	140.147 	63.8 	2.1 
99	199410151115.56 	36.003 	140.133 	65.0 	2.6 
100	199111160829.17 	36.636 	139.502 	9.3 	1.7 
100	199201172102.40 	36.635 	139.504 	9.4 	1.7 
101	199111150945.41 	35.979 	141.335 	30.9 	3.0 
101	199305080732.45 	35.995 	141.451 	31.5 	3.2 
102	199111161400.01 	36.161 	140.061 	69.1 	2.9 
102	199311250628.20 	36.156 	140.064 	71.4 	2.7 
103	199112260238.28 	34.928 	139.178 	8.6 	2.9 
103	199112260417.47 	34.922 	139.189 	1.4 	2.7 
103	199112271926.04 	34.919 	139.194 	1.7 	2.7 
104	199112260255.31 	34.927 	139.182 	10.0 	2.4 
104	199112260330.23 	34.924 	139.187 	1.1 	2.5 
105	199112260405.58 	34.923 	139.180 	2.2 	2.4 
105	199112292009.15 	34.933 	139.186 	9.8 	2.1 
105	199201061324.03 	34.933 	139.189 	10.1 	2.1 
106	199112282131.59 	35.780 	137.518 	13.2 	2.8 
106	199112312154.42 	35.782 	137.552 	10.2 	2.8 
107	199112212016.19 	36.117 	140.123 	68.3 	1.5 
107	199209110221.56 	36.120 	140.114 	67.0 	2.7 
108	199112042038.02 	35.613 	140.171 	74.0 	2.8 
108	199303250257.06 	35.621 	140.186 	71.3 	2.7 
108	199405071920.24 	35.606 	140.140 	73.2 	2.9 
109	199112010500.35 	36.184 	139.827 	56.1 	2.0 
109	199307022350.16 	36.205 	139.852 	57.3 	2.3 
110	199112070951.32 	35.625 	140.159 	69.4 	2.8 
110	199312230033.17 	35.628 	140.110 	71.4 	2.9 
111	199112011625.31 	36.011 	140.129 	63.2 	3.2 
111	199411251856.54 	36.017 	140.117 	63.9 	3.8 
112	199112151647.28 	35.661 	140.167 	72.4 	2.8 
112	199501100713.53 	35.676 	140.143 	65.9 	3.3 
113	199201031245.27 	34.276 	139.142 	2.9 	2.3 
113	199201031424.47 	34.277 	139.144 	2.9 	2.2 
114	199201080510.04 	36.636 	139.503 	9.4 	1.6 
114	199201140151.41 	36.635 	139.503 	9.2 	1.7 
115	199201261544.43 	36.121 	140.067 	65.7 	2.5 
115	199210130242.20 	36.178 	140.096 	76.7 	2.3 
116	199202151329.14 	36.124 	140.110 	68.1 	2.2 
116	199301230613.30 	36.140 	140.114 	66.7 	2.7 
117	199206091407.21 	36.718 	139.365 	4.0 	2.1 
117	199206091412.24 	36.720 	139.363 	4.0 	2.4 
118	199206121012.17 	36.605 	139.401 	8.4 	2.4 
118	199206121418.19 	36.607 	139.400 	8.4 	2.6 
119	199207041521.02 	36.639 	139.466 	8.9 	1.7 
119	199207041710.58 	36.639 	139.466 	8.9 	1.8 
120	199207301826.04 	35.211 	138.391 	18.3 	2.9 
120	199208030317.43 	35.220 	138.392 	17.9 	2.2 
120	199208080355.17 	35.227 	138.400 	17.1 	2.2 
120	199209030049.24 	35.236 	138.396 	16.0 	2.6 
120	199209211509.59 	35.222 	138.409 	16.5 	2.2 
121	199207100211.30 	36.248 	140.502 	50.3 	2.2 
121	199307131949.19 	36.250 	140.503 	51.5 	2.5 
122	199208062212.39 	35.907 	138.072 	10.8 	2.2 
122	199208062236.07 	35.906 	138.070 	11.0 	2.3 
123	199208071426.20 	36.660 	139.435 	8.3 	3.0 
123	199208080143.49 	36.660 	139.435 	8.5 	2.1 
124	199208090037.12 	35.237 	138.392 	16.1 	2.4 
124	199208092317.15 	35.235 	138.398 	16.0 	2.3 
125	199208231914.43 	35.222 	138.407 	16.4 	2.7 
125	199208251239.06 	35.216 	138.420 	14.6 	2.0 
126	199208191444.54 	36.186 	139.817 	56.2 	2.8 
126	199305192153.38 	36.195 	139.822 	52.5 	2.5 
127	199209031040.06 	37.276 	138.720 	9.0 	2.2 
127	199209031707.39 	37.270 	138.720 	8.6 	2.6 
128	199209130914.24 	36.651 	139.501 	8.6 	2.0 
128	199209140214.13 	36.651 	139.501 	8.6 	1.6 
129	199209231050.29 	34.951 	139.333 	15.5 	3.0 
129	199212061702.40 	34.913 	139.349 	17.7 	3.1 
130	199209140101.42 	36.326 	140.037 	70.0 	4.2 
130	199306171318.48 	36.310 	140.054 	70.6 	3.2 
131	199209091223.54 	35.592 	140.079 	81.5 	3.0 
131	199412302050.15 	35.592 	140.067 	78.7 	3.2 
132	199210012327.50 	35.203 	138.412 	15.4 	2.4 
132	199210020001.00 	35.192 	138.401 	16.1 	2.2 
132	199210020113.32 	35.203 	138.411 	15.7 	2.2 
132	199210021849.41 	35.205 	138.410 	15.3 	2.5 
132	199210090723.27 	35.200 	138.416 	15.1 	2.2 
133	199210120310.46 	35.664 	138.327 	7.7 	2.9 
133	199301181214.00 	35.664 	138.333 	1.6 	3.0 
134	199211190738.49 	35.243 	138.396 	16.5 	2.7 
134	199211191711.16 	35.246 	138.391 	15.7 	2.8 
135	199211281241.06 	35.236 	138.397 	16.6 	2.4 
135	199212212135.55 	35.226 	138.414 	16.6 	2.4 
136	199212280201.54 	35.360 	139.173 	9.7 	2.0 
136	199212280203.24 	35.393 	139.107 	1.5 	1.8 
137	199212301309.35 	36.308 	140.041 	76.3 	3.3 
137	199403142318.28 	36.327 	140.028 	73.4 	2.8 
138	199301100300.27 	34.940 	139.173 	10.0 	2.2 
138	199301100327.00 	34.938 	139.173 	10.0 	2.5 
138	199301100417.18 	34.939 	139.173 	9.9 	2.0 
138	199301100530.34 	34.939 	139.172 	9.8 	1.8 
139	199301100527.45 	34.937 	139.177 	9.8 	1.8 
139	199301100600.32 	34.938 	139.178 	9.8 	1.5 
140	199301101039.37 	34.937 	139.176 	9.4 	2.4 
140	199301101215.40 	34.936 	139.177 	9.4 	2.3 
141	199301101113.46 	34.936 	139.184 	9.5 	2.4 
141	199301101122.31 	34.935 	139.186 	9.5 	2.3 
141	199301101404.06 	34.936 	139.185 	9.5 	2.6 
141	199301101407.15 	34.934 	139.185 	9.7 	3.0 
141	199301101713.24 	34.936 	139.184 	9.3 	2.0 
141	199301101734.27 	34.935 	139.187 	9.6 	1.5 
141	199301101838.17 	34.936 	139.186 	9.4 	2.3 
141	199301111221.38 	34.934 	139.184 	9.2 	2.2 
141	199301111223.35 	34.935 	139.184 	9.6 	2.6 
141	199301111227.33 	34.934 	139.187 	9.2 	3.0 
141	199301111500.49 	34.936 	139.187 	9.7 	2.4 
142	199301101141.52 	34.936 	139.182 	9.6 	2.2 
142	199301101304.13 	34.936 	139.181 	9.4 	1.8 
143	199301101232.21 	34.938 	139.178 	9.9 	1.7 
143	199301102103.28 	34.939 	139.176 	9.5 	1.9 
143	199301131209.24 	34.938 	139.178 	9.6 	1.7 
144	199301102116.29 	34.939 	139.177 	9.2 	2.4 
144	199301102121.17 	34.939 	139.180 	9.1 	2.2 
144	199301102128.35 	34.938 	139.178 	9.1 	2.3 
144	199301122152.40 	34.938 	139.177 	9.8 	2.7 
145	199301101418.23 	34.933 	139.188 	10.1 	2.5 
145	199301101422.06 	34.932 	139.189 	10.4 	2.9 
146	199301101420.12 	34.932 	139.188 	10.4 	3.0 
146	199301101515.06 	34.932 	139.189 	10.5 	3.3 
146	199301101535.37 	34.930 	139.190 	10.4 	3.2 
146	199301101609.34 	34.932 	139.188 	10.6 	3.0 
146	199301101627.20 	34.933 	139.186 	10.1 	2.3 
146	199301101633.28 	34.934 	139.182 	10.2 	1.6 
146	199301101707.53 	34.933 	139.184 	10.6 	1.9 
146	199301101842.26 	34.932 	139.187 	10.7 	2.1 
146	199301102042.55 	34.931 	139.183 	10.1 	1.5 
146	199301102322.34 	34.933 	139.186 	10.4 	2.2 
146	199301102339.05 	34.934 	139.187 	10.4 	2.1 
146	199301110031.02 	34.932 	139.188 	10.4 	3.0 
146	199301110052.14 	34.933 	139.191 	10.4 	2.7 
146	199301110132.59 	34.932 	139.187 	10.6 	3.0 
146	199301110152.08 	34.933 	139.186 	10.4 	2.7 
146	199301110201.12 	34.933 	139.186 	10.4 	2.2 
146	199301121015.30 	34.932 	139.189 	10.6 	2.6 
146	199301131124.15 	34.934 	139.189 	11.1 	1.5 
146	199301131949.39 	34.933 	139.185 	10.6 	1.8 
146	199301132058.01 	34.932 	139.187 	10.5 	2.9 
146	199301132113.32 	34.936 	139.189 	11.2 	1.9 
146	199301132130.56 	34.932 	139.188 	10.5 	2.5 
146	199301132159.26 	34.932 	139.187 	10.4 	1.9 
146	199301132308.33 	34.933 	139.188 	10.4 	2.3 
146	199301140608.12 	34.933 	139.186 	10.5 	1.9 
146	199301140731.39 	34.932 	139.188 	10.5 	2.6 
147	199301101501.10 	34.932 	139.191 	10.4 	3.2 
147	199301101910.48 	34.934 	139.189 	10.1 	1.9 
147	199301101922.39 	34.934 	139.190 	10.5 	2.0 
147	199301102024.08 	34.933 	139.191 	10.5 	2.7 
148	199301102057.41 	34.940 	139.177 	9.7 	2.1 
148	199301131210.28 	34.939 	139.176 	9.7 	2.5 
149	199301102139.18 	34.938 	139.177 	9.3 	1.6 
149	199301102209.05 	34.938 	139.177 	8.8 	1.7 
149	199301102335.58 	34.939 	139.176 	9.0 	1.6 
150	199301102254.51 	34.936 	139.180 	9.7 	2.0 
150	199301102254.52 	34.936 	139.182 	9.4 	1.9 
150	199301110229.39 	34.934 	139.185 	9.6 	1.6 
150	199301112016.07 	34.935 	139.185 	9.6 	1.7 
151	199301110247.36 	34.932 	139.187 	10.6 	2.6 
152	199301110305.39 	34.932 	139.186 	10.7 	2.5 
152	199301110402.40 	34.932 	139.192 	10.0 	3.2 
152	199301110512.00 	34.937 	139.178 	9.0 	2.7 
153	199301110336.32 	34.938 	139.198 	10.0 	1.9 
153	199301110453.31 	34.933 	139.190 	9.7 	1.9 
153	199301112111.37 	34.933 	139.193 	9.8 	2.1 
153	199301120202.35 	34.934 	139.192 	9.9 	2.3 
153	199301120239.48 	34.932 	139.192 	9.8 	2.5 
153	199301120243.18 	34.933 	139.192 	10.0 	2.9 
153	199301120246.40 	34.932 	139.192 	9.9 	2.8 
154	199301110508.18 	34.933 	139.191 	9.6 	2.6 
154	199301110516.08 	34.934 	139.187 	9.3 	2.0 
155	199301110510.03 	34.934 	139.189 	9.5 	1.6 
155	199301110518.12 	34.934 	139.191 	9.3 	2.0 
156	199301110558.18 	34.936 	139.188 	9.2 	3.0 
156	199301110559.04 	34.934 	139.190 	9.1 	3.2 
156	199301110603.36 	34.936 	139.185 	9.2 	3.2 
156	199301110704.22 	34.934 	139.187 	9.3 	2.6 
156	199301111315.32 	34.935 	139.191 	9.6 	2.1 
156	199301111360.04 	34.934 	139.188 	9.4 	2.6 
156	199301111400.04 	34.934 	139.188 	9.4 	2.6 
156	199301111458.25 	34.933 	139.187 	9.5 	2.5 
156	199301111527.40 	34.934 	139.186 	9.6 	2.5 
156	199301130505.07 	34.935 	139.185 	9.4 	2.6 
156	199301130508.07 	34.934 	139.186 	9.6 	2.8 
157	199301110629.31 	34.937 	139.187 	8.4 	2.7 
157	199301110639.03 	34.937 	139.187 	8.4 	2.9 
158	199301110745.25 	34.938 	139.187 	8.3 	2.6 
158	199301110755.32 	34.950 	139.177 	7.0 	2.0 
159	199301110838.12 	34.938 	139.189 	8.4 	3.3 
159	199301110943.38 	34.937 	139.189 	8.6 	3.0 
160	199301110915.17 	34.937 	139.182 	9.1 	2.5 
160	199301111123.46 	34.937 	139.186 	8.7 	2.8 
161	199301110953.46 	34.933 	139.202 	9.4 	2.5 
161	199301110956.59 	34.936 	139.188 	8.2 	2.7 
162	199301111342.39 	34.938 	139.183 	9.5 	2.5 
162	199301111611.42 	34.937 	139.182 	9.3 	2.6 
162	199301111629.23 	34.938 	139.183 	9.3 	2.5 
163	199301112118.47 	34.931 	139.193 	9.2 	2.9 
163	199301112126.23 	34.996 	139.193 	9.3 	2.6 
164	199301112154.34 	34.932 	139.191 	10.3 	2.1 
164	199301112206.59 	34.932 	139.193 	9.4 	2.7 
165	199301120300.22 	34.940 	139.202 	10.3 	2.4 
165	199301120322.26 	34.934 	139.198 	9.5 	1.7 
166	199301121050.56 	34.934 	139.188 	9.7 	1.8 
166	199301121613.07 	34.934 	139.189 	9.7 	2.1 
166	199301130514.21 	34.934 	139.187 	9.6 	1.7 
166	199301131915.51 	34.935 	139.185 	9.5 	1.6 
167	199301121509.31 	34.884 	139.181 	4.5 	2.1 
167	199301121552.16 	34.884 	139.180 	4.5 	1.6 
168	199301121728.21 	34.933 	139.185 	9.5 	1.5 
168	199301130145.14 	34.936 	139.188 	9.1 	1.6 
168	199301130227.45 	34.936 	139.186 	9.2 	1.8 
169	199301130331.19 	34.938 	139.185 	8.4 	2.0 
169	199301130501.14 	34.939 	139.186 	8.8 	2.1 
170	199301130554.56 	34.932 	139.190 	10.4 	2.6 
170	199301140140.19 	34.932 	139.190 	10.3 	2.0 
171	199301131926.28 	34.934 	139.181 	10.6 	1.9 
171	199301132059.24 	34.933 	139.182 	10.7 	2.6 
172	199301070252.35 	34.513 	142.317 	31.6 	3.5 
172	199306121831.36 	34.584 	142.117 	16.9 	3.0 
173	199301140357.14 	34.811 	142.161 	52.3 	3.3 
173	199306050017.26 	34.803 	142.189 	66.3 	3.3 
174	199302100914.01 	35.992 	140.095 	63.6 	3.2 
174	199403260810.37 	36.009 	140.123 	64.3 	3.0 
175	199302022237.05 	36.142 	140.039 	71.0 	2.8 
175	199405061304.21 	36.123 	140.024 	71.7 	2.6 
176	199303051124.24 	36.340 	140.057 	67.5 	3.1 
176	199303051242.17 	36.352 	140.035 	66.8 	3.1 
177	199303290357.30 	35.184 	138.387 	16.6 	2.5 
177	199303300556.43 	35.187 	138.392 	16.3 	2.0 
178	199303050816.47 	36.173 	139.845 	52.4 	2.3 
178	199403062310.38 	36.157 	139.841 	55.2 	2.3 
179	199304080502.37 	36.635 	139.585 	8.4 	2.5 
179	199304081338.12 	36.632 	139.588 	8.9 	2.1 
180	199304181254.24 	35.253 	138.460 	17.5 	2.0 
180	199305250956.42 	35.259 	138.452 	17.4 	2.0 
181	199304190527.27 	36.971 	139.565 	2.3 	2.1 
181	199305251821.30 	36.980 	139.545 	7.9 	2.1 
182	199304282318.26 	35.231 	138.372 	14.3 	2.0 
182	199305090927.03 	35.220 	138.391 	14.0 	2.0 
183	199305060807.31 	36.627 	139.322 	8.2 	1.6 
183	199305100027.41 	36.616 	139.320 	7.5 	1.6 
183	199305191202.20 	36.620 	139.318 	8.0 	1.6 
183	199305301518.37 	36.616 	139.321 	7.9 	1.9 
183	199309120125.39 	36.626 	139.327 	6.2 	1.5 
184	199305270150.30 	34.963 	139.142 	6.7 	2.2 
184	199305270359.35 	34.963 	139.141 	6.8 	1.9 
184	199305270509.54 	34.962 	139.142 	6.6 	2.1 
185	199305270524.42 	34.961 	139.139 	6.8 	3.0 
185	199305270541.19 	34.960 	139.142 	7.1 	1.8 
185	199305270644.33 	34.959 	139.145 	7.5 	2.0 
